index,Date,Adj Close,Predicted Adj Close Polyfit,Predicted Adj Close Savgol,Predicted Adj Close Savgol Shifted,Adj Close Shifted,Predicted Adj Close Polyfit Shifted,Savgol prediction,reality,Polyfit prediction
0,2010-06-29,1.5926669836044312,,,,1.5886670351028442,,1,-1,1
1,2010-06-30,1.5886670351028442,,,,1.4639999866485596,,1,-1,1
2,2010-07-01,1.4639999866485596,,,,1.2799999713897705,,1,-1,1
3,2010-07-02,1.2799999713897705,,,,1.0740000009536743,,1,-1,1
4,2010-07-06,1.0740000009536743,,,,1.053333044052124,,1,-1,1
5,2010-07-07,1.053333044052124,,,,1.1640000343322754,,1,1,1
6,2010-07-08,1.1640000343322754,,,,1.159999966621399,,1,-1,1
7,2010-07-09,1.159999966621399,,,,1.136667013168335,,1,-1,1
8,2010-07-12,1.136667013168335,,,,1.2093329429626465,,1,1,1
9,2010-07-13,1.2093329429626465,,,,1.3226670026779177,1.3838217576344822,1,1,1
10,2010-07-14,1.3226670026779177,1.3838217576344822,,,1.3259999752044678,1.3869334896405483,1,1,1
11,2010-07-15,1.3259999752044678,1.3869334896405483,,,1.3760000467300415,1.306888830661778,1,1,-1
12,2010-07-16,1.3760000467300415,1.306888830661778,,,1.4606670141220093,1.3500888029734308,1,1,-1
13,2010-07-19,1.4606670141220093,1.3500888029734308,,,1.3533329963684082,1.5296004494031268,1,-1,1
14,2010-07-20,1.3533329963684082,1.5296004494031268,,1.3601266094883562,1.3480000495910645,1.3381996432940109,1,-1,-1
15,2010-07-21,1.3480000495910645,1.3381996432940109,1.3601266094883562,1.3649284521563303,1.399999976158142,1.1938887238502547,1,1,-1
16,2010-07-22,1.399999976158142,1.1938887238502547,1.3649284521563303,1.378709427638268,1.4193329811096191,1.3074888110160865,-1,1,-1
17,2010-07-23,1.4193329811096191,1.3074888110160865,1.378709427638268,1.380427492982712,1.3966670036315918,1.4567549109458957,-1,-1,1
18,2010-07-26,1.3966670036315918,1.4567549109458957,1.380427492982712,1.3596695225844686,1.3700000047683716,1.4610896746317277,-1,-1,1
19,2010-07-27,1.3700000047683716,1.4610896746317277,1.3596695225844686,1.3667331250907473,1.3813329935073853,1.384266893068946,-1,1,1
20,2010-07-28,1.3813329935073853,1.384266893068946,1.3667331250907473,1.3839645649584276,1.3566670417785645,1.3930218338966305,1,-1,1
21,2010-07-29,1.3566670417785645,1.3930218338966305,1.3839645649584276,1.3945336053876043,1.329332947731018,1.3235337336858133,1,-1,-1
22,2010-07-30,1.329332947731018,1.3235337336858133,1.3945336053876043,1.4080554876818965,1.3946670293807983,1.240643735726672,1,1,-1
23,2010-08-02,1.3946670293807983,1.240643735726672,1.4080554876818965,1.4139298128152877,1.463333010673523,1.4227116505304913,1,1,1
24,2010-08-03,1.463333010673523,1.4227116505304913,1.4139298128152877,1.407518967785861,1.4173330068588257,1.5904884576797187,-1,-1,1
25,2010-08-04,1.4173330068588257,1.5904884576797187,1.407518967785861,1.3855531472871094,1.363332986831665,1.5010882894198128,-1,-1,1
26,2010-08-05,1.363332986831665,1.5010882894198128,1.3855531472871094,1.350129439528082,1.305999994277954,1.3281995534896591,-1,-1,-1
27,2010-08-06,1.305999994277954,1.3281995534896591,1.350129439528082,1.2883171741178487,1.3066669702529907,1.177533245086689,-1,1,-1
28,2010-08-09,1.3066669702529907,1.177533245086689,1.2883171741178487,1.2084667519811378,1.2686669826507568,1.1748675465583744,-1,-1,-1
29,2010-08-10,1.2686669826507568,1.1748675465583744,1.2084667519811378,1.1602421787026913,1.1933330297470093,1.1760677695274082,-1,-1,-1
30,2010-08-11,1.1933330297470093,1.1760677695274082,1.1602421787026913,1.1800911548236894,1.1733330488204956,1.1514883478481757,-1,-1,-1
31,2010-08-12,1.1733330488204956,1.1514883478481757,1.1800911548236894,1.2279096149082405,1.2213330268859863,1.1865992148717979,1,1,1
32,2010-08-13,1.2213330268859863,1.1865992148717979,1.2279096149082405,1.2672821534700067,1.2519999742507937,1.2711321234703377,1,1,1
33,2010-08-16,1.2519999742507937,1.2711321234703377,1.2672821534700067,1.271513855715355,1.2766669988632202,1.320422128836297,1,1,1
34,2010-08-17,1.2766669988632202,1.320422128836297,1.271513855715355,1.2861602878591758,1.2513329982757568,1.37220102548598,1,-1,1
35,2010-08-18,1.2513329982757568,1.37220102548598,1.2861602878591758,1.2956557340985726,1.25266695022583,1.3082668900489764,1,1,1
36,2010-08-19,1.25266695022583,1.3082668900489764,1.2956557340985726,1.2993059504718136,1.273332953453064,1.2450894157090993,1,1,-1
37,2010-08-20,1.273332953453064,1.2450894157090993,1.2993059504718136,1.2947319428779918,1.3420000076293943,1.2108214219410272,1,1,-1
38,2010-08-23,1.3420000076293943,1.2108214219410272,1.2947319428779918,1.2904871818842787,1.2799999713897705,1.327354999383278,-1,-1,-1
