index,Date,Adj Close
0,1992-02-26,7.875
1,1992-02-27,7.78125
2,1992-02-28,7.6875
3,1992-03-02,7.9375
4,1992-03-03,8.0
5,1992-03-04,7.75
6,1992-03-05,7.6875
7,1992-03-06,7.75
8,1992-03-09,8.0
9,1992-03-10,8.1875
10,1992-03-11,8.0625
11,1992-03-12,8.1875
12,1992-03-13,8.4375
13,1992-03-16,8.125
14,1992-03-17,8.1875
15,1992-03-18,8.3125
16,1992-03-19,8.5625
17,1992-03-20,8.75
18,1992-03-23,8.75
19,1992-03-24,8.625
20,1992-03-25,8.65625
21,1992-03-26,8.3125
22,1992-03-27,7.875
23,1992-03-30,8.0
24,1992-03-31,8.0
25,1992-04-01,7.59375
26,1992-04-02,7.5
27,1992-04-03,7.5
28,1992-04-06,7.5625
29,1992-04-07,7.5625
30,1992-04-08,7.375
31,1992-04-09,7.46875
32,1992-04-10,7.5
33,1992-04-13,7.6875
34,1992-04-14,7.9375
35,1992-04-15,7.8125
36,1992-04-16,7.625
37,1992-04-20,7.34375
38,1992-04-21,6.8125
39,1992-04-22,6.625
40,1992-04-23,6.6875
41,1992-04-24,6.625
42,1992-04-27,6.3125
43,1992-04-28,6.625
44,1992-04-29,6.5
45,1992-04-30,7.25
46,1992-05-01,7.6875
47,1992-05-04,8.125
48,1992-05-05,8.375
49,1992-05-06,8.25
50,1992-05-07,8.375
51,1992-05-08,8.34375
52,1992-05-11,7.875
53,1992-05-12,7.53125
54,1992-05-13,7.25
55,1992-05-14,7.125
56,1992-05-15,7.375
57,1992-05-18,7.1875
58,1992-05-19,7.1875
59,1992-05-20,6.84375
60,1992-05-21,6.75
61,1992-05-22,6.875
62,1992-05-26,6.6875
63,1992-05-27,6.75
64,1992-05-28,6.875
65,1992-05-29,6.84375
66,1992-06-01,7.1875
67,1992-06-02,7.8125
68,1992-06-03,8.34375
69,1992-06-04,7.84375
70,1992-06-05,7.59375
71,1992-06-08,7.4375
72,1992-06-09,6.9375
73,1992-06-10,7.0
74,1992-06-11,7.25
75,1992-06-12,7.1875
76,1992-06-15,7.3125
77,1992-06-16,7.0625
78,1992-06-17,6.5
79,1992-06-18,6.375
80,1992-06-19,6.5625
81,1992-06-22,6.5
82,1992-06-23,6.75
83,1992-06-24,6.6875
84,1992-06-25,6.375
85,1992-06-26,6.5
86,1992-06-29,6.75
87,1992-06-30,7.0
88,1992-07-01,6.875
89,1992-07-02,6.625
90,1992-07-06,6.625
91,1992-07-07,6.4375
92,1992-07-08,6.5625
93,1992-07-09,6.625
94,1992-07-10,6.5625
95,1992-07-13,6.1875
96,1992-07-14,6.375
97,1992-07-15,6.3125
98,1992-07-16,6.3125
99,1992-07-17,6.375
100,1992-07-20,6.25
101,1992-07-21,6.21875
102,1992-07-22,6.25
103,1992-07-23,5.9375
104,1992-07-24,5.8125
105,1992-07-27,5.65625
106,1992-07-28,5.875
107,1992-07-29,6.03125
108,1992-07-30,6.4375
109,1992-07-31,6.5
110,1992-08-03,6.375
111,1992-08-04,6.25
112,1992-08-05,6.375
113,1992-08-06,6.40625
114,1992-08-07,6.5
115,1992-08-10,6.4375
116,1992-08-11,6.3125
117,1992-08-12,6.375
118,1992-08-13,6.3125
119,1992-08-14,6.3125
120,1992-08-17,6.3125
121,1992-08-18,6.21875
122,1992-08-19,6.21875
123,1992-08-20,5.9375
124,1992-08-21,5.875
125,1992-08-24,5.75
126,1992-08-25,5.875
127,1992-08-26,6.25
128,1992-08-27,6.34375
129,1992-08-28,6.375
130,1992-08-31,6.25
131,1992-09-01,6.28125
132,1992-09-02,6.3125
133,1992-09-03,6.25
134,1992-09-04,6.3125
135,1992-09-08,6.1875
136,1992-09-09,6.25
137,1992-09-10,6.625
138,1992-09-11,7.03125
139,1992-09-14,7.25
140,1992-09-15,7.25
141,1992-09-16,7.0625
142,1992-09-17,6.9375
143,1992-09-18,6.96875
144,1992-09-21,7.15625
145,1992-09-22,7.09375
146,1992-09-23,7.03125
147,1992-09-24,7.03125
148,1992-09-25,6.6875
149,1992-09-28,6.875
150,1992-09-29,6.9375
151,1992-09-30,7.375
152,1992-10-01,7.3125
153,1992-10-02,6.9375
154,1992-10-05,6.625
155,1992-10-06,6.6875
156,1992-10-07,6.59375
157,1992-10-08,6.84375
158,1992-10-09,7.0625
159,1992-10-12,7.25
160,1992-10-13,7.25
161,1992-10-14,7.21875
162,1992-10-15,7.40625
163,1992-10-16,7.8125
164,1992-10-19,8.125
165,1992-10-20,7.8125
166,1992-10-21,8.125
167,1992-10-22,7.875
168,1992-10-23,7.625
169,1992-10-26,7.5
