index,Date,Adj Close
0,2000-05-02,24.0
1,2000-05-03,22.5
2,2000-05-04,21.125
3,2000-05-05,20.875
4,2000-05-08,20.25
5,2000-05-09,20.1875
6,2000-05-10,19.375
7,2000-05-11,20.0
8,2000-05-12,21.375
9,2000-05-15,21.6875
10,2000-05-16,22.25
11,2000-05-17,21.875
12,2000-05-18,24.0
13,2000-05-19,22.75
14,2000-05-22,20.0
15,2000-05-23,19.875
16,2000-05-24,19.5
17,2000-05-25,18.1875
18,2000-05-26,18.0
19,2000-05-30,20.0
20,2000-05-31,19.3125
21,2000-06-01,20.125
22,2000-06-02,23.0
23,2000-06-05,22.875
24,2000-06-06,23.125
25,2000-06-07,22.25
26,2000-06-08,22.625
27,2000-06-09,23.25
28,2000-06-12,24.0625
29,2000-06-13,23.4375
30,2000-06-14,22.9375
31,2000-06-15,23.0
32,2000-06-16,21.0625
33,2000-06-19,21.25
34,2000-06-20,21.875
35,2000-06-21,22.6875
36,2000-06-22,22.5
37,2000-06-23,23.625
38,2000-06-26,23.625
39,2000-06-27,22.9375
40,2000-06-28,23.4375
41,2000-06-29,23.0625
42,2000-06-30,21.875
43,2000-07-03,22.75
44,2000-07-05,21.5625
45,2000-07-06,21.8125
46,2000-07-07,21.8125
47,2000-07-10,21.75
48,2000-07-11,22.0
49,2000-07-12,21.9375
50,2000-07-13,20.5
51,2000-07-14,21.5625
52,2000-07-17,22.0
53,2000-07-18,21.9375
54,2000-07-19,20.25
55,2000-07-20,21.0
56,2000-07-21,20.5
57,2000-07-24,20.75
58,2000-07-25,21.125
59,2000-07-26,21.1875
60,2000-07-27,20.0
61,2000-07-28,20.0
62,2000-07-31,22.125
63,2000-08-01,21.625
64,2000-08-02,21.75
65,2000-08-03,20.4375
66,2000-08-04,20.75
67,2000-08-07,20.875
68,2000-08-08,20.6875
69,2000-08-09,20.0
70,2000-08-10,17.25
71,2000-08-11,17.25
72,2000-08-14,17.0
73,2000-08-15,17.25
74,2000-08-16,17.125
75,2000-08-17,16.875
76,2000-08-18,17.0
77,2000-08-21,16.25
78,2000-08-22,16.75
79,2000-08-23,17.0
80,2000-08-24,17.4375
81,2000-08-25,17.6875
82,2000-08-28,17.625
83,2000-08-29,17.25
84,2000-08-30,17.375
85,2000-08-31,17.0
86,2000-09-01,17.5
87,2000-09-05,17.375
88,2000-09-06,16.9375
89,2000-09-07,16.25
90,2000-09-08,15.5
